"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Sem informação";"Sem informação";"BUNGE ALIMENTOS S/A";"84.046.101/0582-72";"SANTOS";"35240584046101058272551010003823001327913734";"25.500,00";"27/05/2024";"382300";"101";
"Ministério da Defesa";"Comando do Exército";"GEO POSITION COMERCIO E SERVICOS LTDA - EPP";"10.430.520/0001-98";"RIBEIRAO PRETO";"35220110430520000198550010000007311000007325";"25.680,00";"25/01/2022";"731";"1";
"Ministério da Defesa";"Comando do Exército";"GEO POSITION COMERCIO E SERVICOS LTDA - EPP";"10.430.520/0001-98";"RIBEIRAO PRETO";"35211210430520000198550010000007281000007294";"25.680,00";"16/12/2021";"728";"1";
"Ministério da Defesa";"Comando do Exército";"GEO POSITION COMERCIO E SERVICOS LTDA - EPP";"10.430.520/0001-98";"RIBEIRAO PRETO";"35211210430520000198550010000007271000007289";"25.680,00";"14/12/2021";"727";"1";
"Ministério da Defesa";"Comando do Exército";"GEO POSITION COMERCIO E SERVICOS LTDA - EPP";"10.430.520/0001-98";"RIBEIRAO PRETO";"35211210430520000198550010000007261000007273";"25.680,00";"13/12/2021";"726";"1";
"Ministério da Defesa";"Comando do Exército";"LAVNA VIVACE COMERCIO DE INSTRUMENTOS MUSICAIS LTDA";"21.442.038/0001-94";"LONDRINA";"41230221442038000194550010000006301655398431";"25.888,93";"03/02/2023";"630";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35211134802325000100550010000005281908000409";"25.967,80";"23/11/2021";"528";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35211134802325000100550010000005271908000401";"25.967,80";"23/11/2021";"527";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"GOLDEN DISTRIBUIDORA LTDA";"04.196.935/0014-60";"ITAJAI";"42220704196935001460550100000100411536557664";"26.250,00";"15/07/2022";"10041";"10";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"FIRSTONE INFORMATICA EIRELI";"03.608.330/0001-52";"RIO DE JANEIRO";"33231203608330000152550010000128051504249670";"26.664,00";"16/12/2023";"12805";"1";
"Sem informação";"Sem informação";"ANAX BRASIL COMERCIO E SERVICOS LTDA";"28.849.946/0001-46";"VITORIA";"53220728849946000146550010000012061993043446";"26.697,00";"26/07/2022";"1206";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000101051004199533";"26.820,00";"17/01/2023";"10105";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000101001003092518";"26.820,00";"17/01/2023";"10100";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100951001942288";"26.820,00";"17/01/2023";"10095";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100861995107318";"26.820,00";"17/01/2023";"10086";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100851994319381";"26.820,00";"17/01/2023";"10085";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100801988237216";"26.820,00";"17/01/2023";"10080";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100821991015096";"26.820,00";"17/01/2023";"10082";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000101041004102893";"26.820,00";"17/01/2023";"10104";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100781984667706";"26.820,00";"17/01/2023";"10078";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100811990228889";"26.820,00";"17/01/2023";"10081";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"GOHOBBY FUTURE TECHNOLOGY LTDA";"13.373.898/0001-95";"BARUERI";"35230113373898000195550010000100961001959188";"26.820,00";"17/01/2023";"10096";"1";
