"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"BT COMERCIO INTELIGENTE LTDA";"45.329.312/0001-81";"SERRA";"32231245329312000181550010000007551374674923";"2.965,08";"14/12/2023";"755";"1";
"Ministério da Defesa";"Comando do Exército";"ELETRA TECNOLOGIA E INFORMATICA LTDA";"01.804.159/0001-21";"BELO HORIZONTE";"31221201804159000121550010000025381199206928";"2.994,00";"05/12/2022";"2538";"1";
"Sem informação";"Sem informação";"DX COMPUTADORES LTDA EPP";"11.182.175/0001-83";"FORTALEZA";"23221011182175000183550010000019131413079353";"2.998,00";"13/10/2022";"1913";"1";
"Ministério do Planejamento e Orçamento";"Fundação Instituto Brasileiro de Geografia e Estatística";"FGP SOLUTIONS LTDA";"29.003.455/0001-42";"SAO JOSE";"42231029003455000142550010000013911960080009";"2.999,56";"16/10/2023";"1391";"1";
"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35230144660577000103550010000003141936299204";"3.000,00";"16/01/2023";"314";"1";
"Sem informação";"Sem informação";"DNA TECH COMERCIO ATACADISTA DE EQUIPAMENTOS LTDA";"43.270.088/0001-74";"PORTO ALEGRE";"43220887958674000181558900423765351550251213";"3.029,20";"28/08/2022";"42376535";"890";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240746339373000192550020000009071102030408";"3.054,98";"31/07/2024";"907";"2";
"Ministério da Educação";"Fundação Universidade Federal do ABC";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240818355397000108550020003059201155111014";"3.061,40";"03/08/2024";"305920";"2";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"GLOBALI DISTRIBUICAO E COMERCIO LTDA";"41.826.585/0001-80";"GOIANIA";"52240141826585000180550010000004371978088923";"3.134,97";"11/01/2024";"437";"1";
"Ministério da Educação";"Instituto Federal do Sudeste de Minas Gerais";"FADEPE FUNDAÇÃO DE APOIO E DESENV. AO ENSINO, PESQUISA E EXT";"00.703.697/0001-67";"JUIZ DE FORA";"31231000703697000167550010000082961000076419";"3.177,00";"23/10/2023";"8296";"1";
"Ministério da Educação";"Instituto Federal do Sudeste de Minas Gerais";"FADEPE FUNDAÇÃO DE APOIO E DESENV. AO ENSINO, PESQUISA E EXT";"00.703.697/0001-67";"JUIZ DE FORA";"31241200703697000167550010000088731003875603";"3.177,00";"13/12/2024";"8873";"1";
"Ministério da Educação";"Instituto Federal do Sudeste de Minas Gerais";"FADEPE FUNDAÇÃO DE APOIO E DESENV. AO ENSINO, PESQUISA E EXT";"00.703.697/0001-67";"JUIZ DE FORA";"31250100703697000167550010000088971000081506";"3.177,00";"15/01/2025";"8897";"1";
"Ministério da Defesa";"Fundo do Exército";"RR GESTAO EMPRESARIAL E LICITACAO LTDA";"49.598.601/0001-37";"MANAUS";"13240649598601000137550020000000201074246915";"3.299,00";"04/06/2024";"20";"2";
"Ministério da Educação";"Instituto Federal do Triângulo Mineiro";"ASX SOLUÇÕES POR DRONES";"42.475.725/0001-86";"TUNAPOLIS";"42230142475725000186550010000001061000076900";"3.349,00";"04/01/2023";"106";"1";
"Ministério da Defesa";"Comando do Exército";"ASX SOLUÇÕES POR DRONES";"42.475.725/0001-86";"TUNAPOLIS";"42230142475725000186550010000001091560305000";"3.349,00";"20/01/2023";"109";"1";
"Ministério da Educação";"Instituto Federal do Mato Grosso";"ALL NATIONS COMERCIO EXTERIOR S.A";"00.070.112/0004-61";"CARIACICA";"32250200070112000461550240000918871184985461";"3.370,00";"28/02/2025";"91887";"24";
"Ministério da Educação";"Instituto Federal do Mato Grosso";"WDCL COMERCIO E SERVICO LTDA";"39.436.640/0001-84";"SAO BERNARDO DO CAMPO";"35250339436640000184550010000001791779787778";"3.370,00";"05/03/2025";"179";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33220630870355000100550020000002481003014002";"3.377,97";"03/06/2022";"248";"2";
"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"54.335.357 JACKSON APARECIDO FARIA OLIVEIRA";"54.335.357/0001-50";"PAIVA";"31250116907746000113558900463962781101461784";"3.396,00";"21/01/2025";"46396278";"890";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35220130019904000120550010000022801391828946";"3.400,00";"17/01/2022";"2280";"1";
"Ministério da Educação";"Instituto Federal de Brasília";"EASYTECH";"05.462.543/0001-44";"BRASILIA";"53220105462543000144550010000069601000069611";"3.400,00";"19/01/2022";"6960";"1";
"Ministério da Educação";"Universidade Federal do Pará";"FLY SERV COM & FABRICACAO DE AEROMODELITOS LTDA";"21.018.785/0001-08";"BELEM";"15230121018785000108550010000005121425243324";"3.400,00";"05/01/2023";"512";"1";
"Sem informação";"Sem informação";"LINKWEB COMERCIO E SERVICOS DE TECNOLOGIA LTDA.";"30.856.148/0001-93";"BRASILIA";"53220630856148000193550010000003851601216397";"3.407,61";"28/06/2022";"385";"1";
"Sem informação";"Sem informação";"LICITASHOP COMERCIO E SERVICOS LTDA";"50.958.011/0001-57";"SAO PAULO";"35241150958011000157550010000009021349794523";"3.449,00";"04/11/2024";"902";"1";
"Ministério da Defesa";"Comando do Exército";"ANDERSON RICARDO RAGIOTTO";"50.078.348/0001-70";"SANTA CRUZ DO MONTE CASTELO";"41230950078348000170550010000000301391576170";"3.499,12";"25/09/2023";"30";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241018355397000108550020003232871527257018";"3.500,00";"07/10/2024";"323287";"2";
"Sem informação";"Sem informação";"ANAX BRASIL COMERCIO E SERVICOS LTDA";"28.849.946/0001-46";"VITORIA";"53221128849946000146550020000000051761503493";"3.581,39";"17/11/2022";"5";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"PEDROSO NEGOCIOS GOVERNAMENTAIS PRODUTOS E SERVICOS LTDA";"51.118.112/0001-82";"SAO PAULO";"35240951118112000182550010000002471496070704";"3.724,00";"02/09/2024";"247";"1";
"Ministério da Defesa";"Comando do Exército";"PEDROSO NEGOCIOS GOVERNAMENTAIS PRODUTOS E SERVICOS LTDA";"51.118.112/0001-82";"SAO PAULO";"35240851118112000182550010000002431496070701";"3.734,00";"30/08/2024";"243";"1";
"Ministério da Defesa";"Fundo do Exército";"OFFICE DO BRASIL IMPORTACAO E EXPORTACAO LTDA";"11.094.173/0001-32";"SAO PAULO";"35220611094173000132550010000200201670947236";"3.738,92";"08/06/2022";"20020";"1";
"Ministério da Defesa";"Fundo do Exército";"OFFICE DO BRASIL IMPORTACAO E EXPORTACAO LTDA";"11.094.173/0001-32";"SAO PAULO";"35220611094173000132550010000200381020899118";"3.738,92";"15/06/2022";"20038";"1";
"Ministério da Defesa";"Fundo do Exército";"OFFICE DO BRASIL IMPORTACAO E EXPORTACAO LTDA";"11.094.173/0001-32";"SAO PAULO";"35220711094173000132550010000201451358097778";"3.738,92";"12/07/2022";"20145";"1";
"Ministério da Educação";"Fundação Universidade Federal de São João Del-Rei";"EVEN COMERCIAL LTDA";"53.568.001/0001-01";"CURITIBA";"41250253568001000101550010000009251001991607";"3.746,25";"25/02/2025";"925";"1";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240846339373000192550020000010611102030401";"3.785,22";"30/08/2024";"1061";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002100441149577718";"3.805,22";"01/06/2023";"210044";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002100451135156887";"3.805,22";"01/06/2023";"210045";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002099301609223028";"3.805,22";"01/06/2023";"209930";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002100461164016700";"3.805,22";"01/06/2023";"210046";"2";
"Ministério da Defesa";"Comando do Exército";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230418355397000108550020001965241137266004";"3.814,55";"03/04/2023";"196524";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240218355397000108550020002616361103736881";"3.874,98";"06/02/2024";"261636";"2";
"Ministério da Defesa";"Comando do Exército";"AS SHOP COMERCIO VAREJISTA DE ELETRONICOS LTDA";"47.308.261/0001-37";"JOAO PESSOA";"25230847308261000137550010000000281708145929";"3.900,00";"08/08/2023";"28";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002728391179890690";"3.910,32";"28/03/2024";"272839";"2";
"Ministério da Defesa";"Comando do Exército";"INACIO APRIGIO DE OLIVEIRA";"36.239.722/0001-40";"MARACANAU";"23240836239722000140550010000002731000102726";"3.915,90";"28/08/2024";"273";"1";
"Ministério da Educação";"Instituto Federal de Minas Gerais";"EXITO COMERGIO DIGITAL LTDA";"39.511.045/0001-66";"PAULINIA";"35220839511045000166550010000000461438460851";"3.919,00";"23/08/2022";"46";"1";
"Ministério da Educação";"Instituto Federal Goiano";"PROINDEX INDUSTRIA E COMERCIO LTDA";"85.067.502/0001-92";"CURITIBA";"41250185067502000192550010000019371812424848";"3.933,00";"09/01/2025";"1937";"1";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"PROINDEX INDUSTRIA E COMERCIO LTDA";"85.067.502/0001-92";"CURITIBA";"41250185067502000192550010000019361812246004";"3.933,00";"09/01/2025";"1936";"1";
"Ministério da Defesa";"Comando do Exército";"PEDROSO NEGOCIOS GOVERNAMENTAIS PRODUTOS E SERVICOS LTDA";"51.118.112/0001-82";"SAO PAULO";"35241051118112000182550010000002811496070706";"3.963,00";"24/10/2024";"281";"1";
"Ministério da Defesa";"Comando da Marinha";"ENZOMAR COMERCIO E SERVICOS EIRELI";"32.819.998/0001-47";"RIO DE JANEIRO";"33221032819998000147550010000000731272917015";"3.998,00";"21/10/2022";"73";"1";
"Ministério da Educação";"Instituto Federal Baiano";"NSA GUADALUPE COMERCIO E SERVIÇO LTDA";"17.252.813/0001-71";"BRASILIA";"53220817252813000171550010000000351532001009";"3.999,00";"10/08/2022";"35";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"MANUAL DAS CIDADES SOLUCOES URBANAS LTDA";"27.319.237/0001-96";"CURITIBA";"41250327319237000196550010000000241086522195";"3.999,98";"07/03/2025";"24";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31240320320503000151550020000111001467607150";"4.000,00";"21/03/2024";"11100";"2";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31240320320503000151550020000111031210322057";"4.000,00";"21/03/2024";"11103";"2";
"Ministério da Educação";"Fundação Universidade de Brasília";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000002881418673993";"4.000,00";"03/04/2024";"288";"1";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35250118355397000108550020003501981216868129";"4.000,00";"20/01/2025";"350198";"2";
"Sem informação";"Sem informação";"SUPER IMPORTADORA SOLUCOES AEROESPACIAIS LTDA.";"27.275.324/0001-99";"SAO JOSE DOS CAMPOS";"35221027275324000199550010000013911061170350";"4.027,90";"11/10/2022";"1391";"1";
"Sem informação";"Sem informação";"GLOBALI DISTRIBUICAO E COMERCIO LTDA";"41.826.585/0001-80";"GOIANIA";"52240741826585000180550010000005591462056593";"4.131,00";"19/07/2024";"559";"1";
"Ministério da Educação";"Instituto Federal de Minas Gerais";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31220720320503000151550020000065801961515026";"4.160,00";"28/07/2022";"6580";"2";
"Ministério da Educação";"Instituto Federal de Minas Gerais";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31220820320503000151550020000068671338303872";"4.160,00";"29/08/2022";"6867";"2";
"Ministério da Educação";"Universidade Federal de Minas Gerais";"TI COMPONENTES ELETRONICOS LTDA.";"39.678.810/0001-37";"SAO PAULO";"35250139678810000137550010000023871718155570";"4.188,60";"29/01/2025";"2387";"1";
"Ministério da Educação";"Universidade Federal de Roraima";"OFFICE DO BRASIL IMPORTACAO E EXPORTACAO LTDA";"11.094.173/0001-32";"SAO PAULO";"35220911094173000132550010000203621189395997";"4.200,00";"08/09/2022";"20362";"1";
"Sem informação";"Sem informação";"AS SHOP COMERCIO VAREJISTA DE ELETRONICOS LTDA";"47.308.261/0001-37";"JOAO PESSOA";"25240147308261000137550010000001331808340601";"4.250,00";"24/01/2024";"133";"1";
"Sem informação";"Sem informação";"AS SHOP COMERCIO VAREJISTA DE ELETRONICOS LTDA";"47.308.261/0001-37";"JOAO PESSOA";"25240147308261000137550010000001331808340601";"4.250,00";"24/01/2024";"133";"1";
"Ministério da Gestão e da Inovação em Serviços Públicos";"Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003316831991025570";"4.274,40";"06/11/2024";"331683";"2";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35221144660577000103550010000001391034393885";"4.280,00";"04/11/2022";"139";"1";
"Ministério da Defesa";"Comando do Exército";"AS SHOP COMERCIO VAREJISTA DE ELETRONICOS LTDA";"47.308.261/0001-37";"JOAO PESSOA";"25231247308261000137550010000001071106718650";"4.290,00";"11/12/2023";"107";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230418355397000108550020002008021902895850";"4.432,64";"25/04/2023";"200802";"2";
"Ministério da Educação";"Instituto Federal de Rondônia";"DRONE SENSE TECNOLOGIA AEREA, IMPORTACAO E EXPORTACAO LTDA";"25.330.277/0001-03";"RIBEIRAO PRETO";"35240425330277000103550010000003611684003759";"4.449,00";"25/04/2024";"361";"1";
"Ministério da Educação";"Instituto Federal de Rondônia";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31240820320503000151550020000122551303182527";"4.449,00";"02/08/2024";"12255";"2";
"Ministério da Educação";"Universidade Federal de Itajubá";"LIMEIRA HOBBY CENTER LTDA - ME";"01.424.885/0001-19";"LIMEIRA";"35211201424885000119550010000013491723277881";"4.450,00";"08/12/2021";"1349";"1";
"Ministério da Defesa";"Comando do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35221130019904000120550010000030971153025599";"4.484,00";"07/11/2022";"3097";"1";
"Ministério da Defesa";"Comando do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35221230019904000120550010000031691919721820";"4.484,00";"26/12/2022";"3169";"1";
"Ministério da Defesa";"Fundo do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35230330019904000120550010000033451219836090";"4.484,00";"29/03/2023";"3345";"1";
"Ministério da Educação";"Universidade Federal de Pernambuco";"GOLDEN DISTRIBUIDORA LTDA";"04.196.935/0014-60";"ITAJAI";"42220604196935001460550100000096831321173515";"4.492,85";"20/06/2022";"9683";"10";
"Ministério da Educação";"Universidade Federal de Pernambuco";"GOLDEN DISTRIBUIDORA LTDA";"04.196.935/0014-60";"ITAJAI";"42220604196935001460550100000096991620412384";"4.492,85";"20/06/2022";"9699";"10";
"Ministério da Defesa";"Comando do Exército";"SP DRONES E COMERCIO SOCIEDADE UNIPESSOAL LTDA";"44.660.577/0001-03";"SAO PAULO";"35230944660577000103550010000007691016779327";"4.500,00";"19/09/2023";"769";"1";
"Ministério da Defesa";"Comando do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35230630019904000120550010000035121501405638";"4.515,56";"28/06/2023";"3512";"1";
"Ministério da Defesa";"Comando do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35230630019904000120550010000034771679982804";"4.515,56";"12/06/2023";"3477";"1";
"Ministério da Defesa";"Comando do Exército";"DT OFFICE - DISTRIBUIDOR DE ELETRONICOS EIRELI";"30.019.904/0001-20";"SAO PAULO";"35221130019904000120550010000031161109618242";"4.522,35";"24/11/2022";"3116";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33211230870355000100550020000001701300059002";"4.598,99";"20/12/2021";"170";"2";
"Ministério da Educação";"Instituto Federal de Rondônia";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31241020320503000151550020000133901881314519";"4.660,00";"22/10/2024";"13390";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240218355397000108550020002620981192375485";"4.675,42";"08/02/2024";"262098";"2";
"Ministério da Educação";"Instituto Federal de Minas Gerais";"51.358.292 NEIDE APARECIDA DE OLIVEIRA";"51.358.292/0001-70";"VICOSA";"31230816907746000113558900400913281221299058";"4.687,50";"11/08/2023";"40091328";"890";
"Ministério da Defesa";"Fundo do Exército";"ALEXANDRE CESAR CARVALHO DE OLIVEIRA";"33.969.748/0001-56";"NATAL";"24211133969748000156550010000001761001000708";"4.705,88";"22/11/2021";"176";"1";
"Ministério da Defesa";"Fundo do Exército";"ALEXANDRE CESAR CARVALHO DE OLIVEIRA";"33.969.748/0001-56";"NATAL";"24211133969748000156550010000001741001000703";"4.705,88";"22/11/2021";"174";"1";
"Ministério da Defesa";"Comando do Exército";"INFORSISTEM COMERCIO E SERVICOS LTDA";"00.563.949/0001-08";"FORTALEZA";"23220800563949000108550010000000491280453739";"4.730,00";"23/08/2022";"49";"1";
"Ministério da Defesa";"Comando do Exército";"S F DE SOUZA CASTRO LTDA";"21.775.627/0001-94";"CASTRO";"41211221775627000194550010000019991024400062";"4.777,00";"02/12/2021";"1999";"1";
"Ministério da Defesa";"Fundo do Exército";"S F DE SOUZA CASTRO LTDA";"21.775.627/0001-94";"CASTRO";"41220321775627000194550010000020651041900078";"4.777,00";"30/03/2022";"2065";"1";
"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"J&R DRONES SAO PAULO";"30.897.529/0002-00";"BARUERI";"35230730897529000200550010000007181080864318";"4.780,00";"27/07/2023";"718";"1";
"Ministério da Educação";"Fundação Universidade Federal do Pampa";"SUPER IMPORTADORA SOLUCOES AEROESPACIAIS LTDA.";"27.275.324/0001-99";"SAO JOSE DOS CAMPOS";"35231127275324000199550010000641971805955079";"4.796,00";"07/11/2023";"64197";"1";
"Ministério da Educação";"Universidade Federal Rural do Semi-Árido";"COMANDO BRAVO COMERCIO DE PRODUTOS E SERVICOS LTDA";"48.749.155/0001-51";"BETIM";"31240348749155000151550010000000671438372653";"4.800,00";"11/03/2024";"67";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO PARA O DESENV. CIENTIFICO E TEC. EM SAUDE";"02.385.669/0001-74";"RIO DE JANEIRO";"33241002385669000174552060000921511081848295";"4.820,00";"17/10/2024";"92151";"206";
"Ministério da Defesa";"Comando do Exército";"ASSUNTEC - ASSUNTOS TECNOLÓGICOS COM. DE EQUIP. EIRELI - ME";"43.182.905/0001-32";"SAO PAULO";"35220643182905000132550010000001681174009632";"4.846,00";"22/06/2022";"168";"1";
"Ministério da Defesa";"Comando do Exército";"ASSUNTEC - ASSUNTOS TECNOLÓGICOS COM. DE EQUIP. EIRELI - ME";"43.182.905/0001-32";"SAO PAULO";"35220543182905000132550010000001131174009630";"4.846,00";"18/05/2022";"113";"1";
"Ministério da Defesa";"Comando do Exército";"ASSUNTEC - ASSUNTOS TECNOLÓGICOS COM. DE EQUIP. EIRELI - ME";"43.182.905/0001-32";"SAO PAULO";"35220543182905000132550010000001191174009634";"4.846,00";"26/05/2022";"119";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003425521124608140";"4.851,88";"18/12/2024";"342552";"2";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240746339373000192550020000008511102030400";"4.890,56";"19/07/2024";"851";"2";
"Ministério da Educação";"Instituto Federal do Ceará";"AUGUSTO & COIMBRA LTDA";"30.747.960/0001-80";"JOINVILLE";"42231230747960000180550010000023561941430951";"4.899,03";"08/12/2023";"2356";"1";
"Ministério da Educação";"Instituto Federal do Ceará";"AUGUSTO & COIMBRA LTDA";"30.747.960/0001-80";"JOINVILLE";"42240230747960000180550010000024391736871236";"4.899,03";"06/02/2024";"2439";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003305221202196961";"4.907,82";"01/11/2024";"330522";"2";
"Ministério da Defesa";"Fundo do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35211134802325000100550010000005331908000409";"4.936,63";"25/11/2021";"533";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"EDSON CARLOS MACHADO DE OLIVEIRA";"45.283.362/0001-75";"CAMPO BOM";"43241245283362000175550010000003331173813354";"4.960,00";"05/12/2024";"333";"1";
"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"MARTINS E MANZZATTO MULTIVENDAS LTDA";"32.508.437/0001-27";"CURITIBA";"41230232508437000127550010000000011874150200";"4.987,58";"16/02/2023";"1";"1";
"Ministério da Defesa";"Comando do Exército";"MAIORCA COMERCIO DE EQUIPAMENTOS ELETRONICOS EIRELI";"34.802.325/0001-00";"SAO PAULO";"35220534802325000100550010000007161908000402";"4.999,99";"05/05/2022";"716";"1";
"Sem informação";"Sem informação";"TUPAN PROJETOS LTDA";"50.318.983/0001-87";"SAO JOSE DOS CAMPOS";"35250150318983000187550010000000071520804008";"5.000,00";"28/01/2025";"7";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"LINKWEB COMERCIO E SERVICOS DE TECNOLOGIA LTDA.";"30.856.148/0001-93";"BRASILIA";"53220430856148000193550010000003501064419062";"5.040,00";"11/04/2022";"350";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"LINKWEB COMERCIO E SERVICOS DE TECNOLOGIA LTDA.";"30.856.148/0001-93";"BRASILIA";"53241130856148000193550010000008081255026080";"5.148,00";"22/11/2024";"808";"1";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"FREEWAY INFORMATICA EIRELI";"22.886.289/0001-20";"RIO DE JANEIRO";"33240522886289000120550010000200861058156071";"5.200,00";"15/05/2024";"20086";"1";
"Sem informação";"Sem informação";"LC VENDAS E CONSULTORIA LTDA";"34.705.204/0001-40";"BRASILIA";"53240534705204000140550010000000691093216364";"5.200,00";"17/05/2024";"69";"1";
"Ministério da Educação";"Universidade Federal de Santa Maria";"TI COMPONENTES ELETRONICOS LTDA.";"39.678.810/0001-37";"SAO PAULO";"35240539678810000137550010000010721911603219";"5.320,00";"24/05/2024";"1072";"1";
"Ministério da Defesa";"Comando da Marinha";"JB EQUIPAMENTOS INDUSTRIAIS LTDA ME";"31.391.461/0001-66";"RIO DE JANEIRO";"33231131391461000166550010000059271019040188";"5.350,00";"27/11/2023";"5927";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31220720320503000151550020000065281425468863";"5.351,00";"18/07/2022";"6528";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"MANHUACU CONSTRUCAO, TERCEIRIZACAO E COMERCIALIZACAO DE MATE";"30.814.518/0001-20";"BELO HORIZONTE";"31240430814518000120550030000016251000036772";"5.368,80";"08/04/2024";"1625";"3";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31220320320503000151550020000058951417597870";"5.387,18";"30/03/2022";"5895";"2";
"Sem informação";"Sem informação";"MIR IMPORTACAO E EXPORTACAO LTDA";"03.341.024/0001-00";"MANAUS";"13230803341024000100550030000529761537444745";"5.393,07";"02/08/2023";"52976";"3";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31220220320503000151550020000057411245279957";"5.399,10";"22/02/2022";"5741";"2";
"Ministério da Defesa";"Comando do Exército";"ALPHA CENTAURI COMERCIO ATACADISTA DE EQUIPAMENTOS E COMPONE";"34.148.330/0001-40";"SANTA CRUZ DO CAPIBARIBE";"26220334148330000140550010000001101346011723";"5.400,00";"02/03/2022";"110";"1";
"Ministério da Defesa";"Comando do Exército";"DRONE AIR COMERCIO E SERVICOS TECNOLOGICOS EIRELI";"39.935.802/0001-29";"JOAO PESSOA";"25220839935802000129550010000002461350217130";"5.400,00";"22/08/2022";"246";"1";
